"","glaucus_Chemodetection","glaucus_Speed","nGlaucus","Total_Attacks","Total_LatchTime","Total_eaten","interaction","nPhysalia","density"
"1",0.01218103,0.00573958,250,1,22,0,49,1250,5
"2",0.0085712,0.01336472,250,2,26,0,47,1250,5
"3",0.01742593,0.00438446,250,1,14,0,160,1250,5
"4",0.01841859,0.01581243,250,2,6,0,240,1250,5
"5",0.00506312,0.0177354,250,8,25,0,25,1250,5
"6",0.00748149,0.0026523,250,1,9,0,35,1250,5
"7",0.00389548,0.0076487,250,5,5,0,8,1250,5
"8",0.00102185,0.00995899,250,2,0,0,0,1250,5
"9",0.00442628,0.01260668,250,1,8,0,10,1250,5
"10",0.01582898,0.01192379,250,1,30,0,152,1250,5
"11",0.01100122,0.01115748,250,4,9,0,82,1250,5
"12",0.00938198,0.00175183,250,4,5,0,69,1250,5
"13",0.00147997,0.01522291,250,3,11,0,3,1250,5
"14",0.00776325,0.01493829,250,2,13,0,35,1250,5
"15",0.01476305,0.00815993,250,3,5,0,110,1250,5
"16",0.01649261,0.0034426,250,7,22,0,195,1250,5
"17",0.01298192,0.01027202,250,2,13,0,167,1250,5
"18",0.00311642,0.00448278,250,5,20,0,5,1250,5
"19",0.01277804,0.0167904,250,2,30,0,103,1250,5
"20",0.00711107,0.01961102,250,1,11,0,39,1250,5
"21",0.00815566,0.00730763,250,6,26,0,62,1250,5
"22",0.01514244,0.01612095,250,1,19,0,95,1250,5
"23",0.01699204,0.00917427,250,7,11,0,160,1250,5
"24",0.00325867,0.0146425,250,3,5,0,3,1250,5
"25",0.00582546,0.00853302,250,1,14,0,27,1250,5
"26",6.395e-05,0.01902386,250,5,0,0,0,1250,5
"27",0.00412308,0.00206051,250,3,25,0,18,1250,5
"28",0.01351602,0.00298296,250,1,11,0,94,1250,5
"29",0.01190519,0.00645133,250,3,9,0,93,1250,5
"30",0.01073631,0.01362464,250,2,57,0,97,1250,5
"31",0.01763567,0.014165,250,3,5,0,150,1250,5
"32",0.01412895,0.01941865,250,4,0,0,63,1250,5
"33",0.0061991,0.01699642,250,5,31,0,50,1250,5
"34",0.00207448,0.00704198,250,3,27,0,7,1250,5
"35",0.00891776,0.00374935,250,8,29,0,87,1250,5
"36",0.01904887,0.00559153,250,6,13,0,226,1250,5
"37",0.01611687,0.00034146,250,2,21,0,125,1250,5
"38",0.00644361,0.01200319,250,2,34,0,32,1250,5
"39",0.01395009,0.01303007,250,3,18,0,115,1250,5
"40",0.00547695,0.0048615,250,3,15,0,14,1250,5
"41",0.01554146,0.00618314,250,7,38,0,165,1250,5
"42",0.00198157,0.01145197,250,3,8,0,2,1250,5
"43",0.01037799,0.01810936,250,3,27,0,81,1250,5
"44",0.011208,0.00044238,250,0,10,0,45,1250,5
"45",0.01935839,0.01043899,250,2,14,0,142,1250,5
"46",0.00970582,0.00958599,250,6,23,0,70,1250,5
"47",0.00260517,0.01721001,250,4,10,0,3,1250,5
"48",0.01990456,0.00155866,250,3,8,0,187,1250,5
"49",0.00042415,0.0010338,250,5,0,0,0,1250,5
"50",0.0183732,0.01866501,250,4,12,0,165,1250,5
