"","glaucus_Chemodetection","glaucus_Speed","nGlaucus","Total_Attacks","Total_LatchTime","Total_eaten","interaction","nPhysalia","density"
"1",0.01218103,0.00573958,250,2,11,0,92,750,3
"2",0.0085712,0.01336472,250,1,17,0,27,750,3
"3",0.01742593,0.00438446,250,1,6,0,107,750,3
"4",0.01841859,0.01581243,250,4,20,0,163,750,3
"5",0.00506312,0.0177354,250,1,9,0,10,750,3
"6",0.00748149,0.0026523,250,4,15,0,31,750,3
"7",0.00389548,0.0076487,250,1,15,0,10,750,3
"8",0.00102185,0.00995899,250,0,0,0,0,750,3
"9",0.00442628,0.01260668,250,0,18,0,10,750,3
"10",0.01582898,0.01192379,250,1,3,0,95,750,3
"11",0.01100122,0.01115748,250,2,12,0,30,750,3
"12",0.00938198,0.00175183,250,2,12,0,42,750,3
"13",0.00147997,0.01522291,250,2,7,0,1,750,3
"14",0.00776325,0.01493829,250,4,11,0,48,750,3
"15",0.01476305,0.00815993,250,1,14,0,80,750,3
"16",0.01649261,0.0034426,250,1,4,0,92,750,3
"17",0.01298192,0.01027202,250,3,12,0,77,750,3
"18",0.00311642,0.00448278,250,1,0,0,1,750,3
"19",0.01277804,0.0167904,250,1,0,0,44,750,3
"20",0.00711107,0.01961102,250,0,6,0,10,750,3
"21",0.00815566,0.00730763,250,0,17,0,37,750,3
"22",0.01514244,0.01612095,250,0,4,0,99,750,3
"23",0.01699204,0.00917427,250,2,13,0,137,750,3
"24",0.00325867,0.0146425,250,0,7,0,4,750,3
"25",0.00582546,0.00853302,250,2,16,0,17,750,3
"26",6.395e-05,0.01902386,250,2,0,0,0,750,3
"27",0.00412308,0.00206051,250,4,10,0,6,750,3
"28",0.01351602,0.00298296,250,2,0,0,104,750,3
"29",0.01190519,0.00645133,250,0,21,0,44,750,3
"30",0.01073631,0.01362464,250,0,22,0,91,750,3
"31",0.01763567,0.014165,250,3,11,0,117,750,3
"32",0.01412895,0.01941865,250,1,4,0,88,750,3
"33",0.0061991,0.01699642,250,3,9,0,25,750,3
"34",0.00207448,0.00704198,250,3,9,0,3,750,3
"35",0.00891776,0.00374935,250,5,3,0,26,750,3
"36",0.01904887,0.00559153,250,0,21,0,150,750,3
"37",0.01611687,0.00034146,250,1,0,0,91,750,3
"38",0.00644361,0.01200319,250,2,6,0,26,750,3
"39",0.01395009,0.01303007,250,2,8,0,58,750,3
"40",0.00547695,0.0048615,250,1,7,0,14,750,3
"41",0.01554146,0.00618314,250,2,4,0,57,750,3
"42",0.00198157,0.01145197,250,3,15,0,2,750,3
"43",0.01037799,0.01810936,250,5,12,0,69,750,3
"44",0.011208,0.00044238,250,0,14,0,55,750,3
"45",0.01935839,0.01043899,250,1,0,0,84,750,3
"46",0.00970582,0.00958599,250,5,0,0,29,750,3
"47",0.00260517,0.01721001,250,0,5,0,3,750,3
"48",0.01990456,0.00155866,250,4,0,0,128,750,3
"49",0.00042415,0.0010338,250,1,0,0,0,750,3
"50",0.0183732,0.01866501,250,5,12,0,120,750,3
